epoch,total,detection,segmentation,severity,temporal,val_det_acc,val_sev_acc
1,1.2698625619464283,0.14632681590644447,0.25290787169701945,0.9123194466663312,0.0,0.9983416252072969,0.6850393700787402
2,1.2269904882163754,0.16723572428756736,0.2612590401232997,0.8812735451676171,0.0,0.9983416252072969,0.6771653543307087
3,1.275592546171277,0.20370232369475663,0.24371099824140846,0.9062554968308799,0.0,0.9983416252072969,0.6456692913385826
4,1.2318153390464401,0.19127787090052029,0.2594771065163713,0.855860780814529,0.0,0.9983416252072969,0.6377952755905512
5,1.2499300396612174,0.20882377186976767,0.2483717090909994,0.8877351578277878,0.0,1.0,0.5826771653543307
6,1.2459391280222794,0.1969123110445295,0.25543214412178167,0.8670223218227741,0.0,0.9983416252072969,0.5984251968503937
7,1.238491308588519,0.17173811745582312,0.25325410740787974,0.8753854482737271,0.0,1.0,0.6692913385826772
8,1.2304964904920965,0.17200812516794914,0.24949758682195647,0.8760748948225995,0.0,1.0,0.7007874015748031
9,1.202950745736512,0.14246318420225298,0.24292467418225003,0.8602040775969059,0.0,0.9983416252072969,0.6535433070866141
10,1.2241224779547015,0.16331030411954245,0.25430378899418354,0.9038255194571451,0.0,0.9983416252072969,0.6771653543307087
11,1.2204271162140974,0.17481848936506356,0.24501593470699173,0.877126795330128,0.0,0.9983416252072969,0.6929133858267716
12,1.2209383782769558,0.16995954331914886,0.24163913080775284,0.8608366389314837,0.0,1.0,0.7165354330708661
13,1.211315248931762,0.175928401587362,0.2469725736931658,0.8686799188203449,0.0,1.0,0.7007874015748031
14,1.208062171275857,0.16141160210434402,0.24522250219550817,0.8707203442537332,0.0,1.0,0.6850393700787402
15,1.1879868779472913,0.130803391827125,0.23144242587157443,0.8667887409025103,0.0,1.0,0.6692913385826772
16,1.1421607300867072,0.14576663298944734,0.23120146890795684,0.7943989186850278,0.0,1.0,0.6692913385826772
17,1.208495125007513,0.17151024876081852,0.23120821536153177,0.8751040986318629,0.0,1.0,0.6771653543307087
18,1.1851255508603427,0.14907202959544014,0.23389819445174959,0.861519368514733,0.0,1.0,0.6771653543307087
19,1.2118125242900244,0.19088623544126593,0.24205386649644325,0.903750414335275,0.0,1.0,0.6771653543307087
20,1.2369136469525124,0.16733396892646576,0.24033437801312796,0.9020330731124314,0.0,1.0,0.6850393700787402
